City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,lompoc,34.6391,-120.4579,17.05,63,20,6.69,US,1678220199
159,muros,42.7762,-9.0603,15.61,80,100,10.15,ES,1678220200
160,namibe,-15.1961,12.1522,21.29,82,53,2.34,AO,1678220202
161,vila velha,-20.3297,-40.2925,26.97,83,40,4.12,BR,1678220169
162,marawi,7.9986,124.2928,20.19,96,94,0.98,PH,1678220204
163,urumqi,43.801,87.6005,3.53,65,0,2.0,CN,1678220205
164,shingu,33.7333,135.9833,8.22,48,0,2.44,JP,1678220207
165,trairi,-3.2778,-39.2689,27.8,74,10,4.95,BR,1678220180
166,kerema,-7.9631,145.7785,26.28,74,80,2.06,PG,1678220209
167,udpura,24.7167,75.9667,21.53,39,96,1.49,IN,1678220210
168,san blas,21.5167,-105.2667,34.94,49,99,4.24,MX,1678220212
169,verkhnevilyuysk,63.4453,120.3167,-32.23,100,74,1.92,RU,1678220214
170,sawakin,19.1059,37.3321,26.18,82,100,7.28,SD,1678220215
171,boddam,57.4667,-1.7833,-0.79,70,59,4.2,GB,1678220217
172,faya,18.3851,42.4509,17.06,62,76,1.77,SA,1678220218
173,tura,25.5198,90.2201,19.19,20,0,1.35,IN,1678220219
174,ilulissat,69.2167,-51.1,1.01,37,20,15.95,GL,1678220221
175,san patricio,28.017,-97.5169,30.97,53,37,7.55,US,1678220223
176,manfredonia,41.6259,15.9094,11.42,81,0,2.06,IT,1678220224
177,emerald,-23.5333,148.1667,23.52,80,100,4.19,AU,1678220226
178,zemio,5.0314,25.1361,29.54,37,100,1.33,CF,1678220227
179,ninghai,29.2892,121.4247,11.12,82,91,1.52,CN,1678220229
180,saint-philippe,-21.3585,55.7679,25.77,88,75,5.66,RE,1678220230
181,anzio,41.4853,12.6179,13.7,76,100,5.33,IT,1678220231
182,puerto colombia,10.9878,-74.9547,28.05,76,58,10.5,CO,1678220233
183,hirara,24.8,125.2833,19.66,56,1,4.27,JP,1678220235
184,bambous virieux,-20.3428,57.7575,25.14,94,75,3.09,MU,1678220236
